type_school,school_accreditation,gender,interest,residence,parent_age,parent_salary,house_area,average_grades,parent_was_in_college,in_college
Academic,A,Male,Less Interested,Urban,56,6950000,83,84.09,FALSE,TRUE
Academic,A,Male,Less Interested,Urban,57,4410000,76.8,86.91,FALSE,TRUE
Academic,B,Female,Very Interested,Urban,50,6500000,80.6,87.43,FALSE,TRUE
Vocational,B,Male,Very Interested,Rural,49,6600000,78.2,82.12,TRUE,TRUE
Academic,A,Female,Very Interested,Urban,57,5250000,75.1,86.79,FALSE,FALSE
Vocational,B,Female,Less Interested,Rural,48,3770000,65.3,86.79,TRUE,FALSE
Academic,A,Male,Very Interested,Rural,52,6680000,85.5,90.39,TRUE,TRUE
Academic,B,Male,Very Interested,Rural,53,5890000,83.3,84.65,TRUE,FALSE
Academic,B,Female,Uncertain,Rural,52,6730000,80.3,88.5,TRUE,TRUE
Academic,B,Female,Very Interested,Rural,47,3880000,68,85.43,TRUE,FALSE
Vocational,A,Male,Not Interested,Rural,57,5680000,67.1,89.45,TRUE,FALSE
Vocational,B,Male,Uncertain,Rural,48,5950000,60.7,84.96,TRUE,FALSE
Vocational,B,Male,Uncertain,Rural,47,6930000,65.4,86.23,TRUE,FALSE
Academic,B,Male,Very Interested,Rural,53,7130000,88.5,91.92,TRUE,TRUE
Academic,A,Male,Very Interested,Urban,51,3370000,67.1,84.09,FALSE,FALSE
Vocational,A,Female,Less Interested,Urban,53,6940000,50.1,89.71,TRUE,TRUE
Academic,B,Male,Very Interested,Rural,48,3970000,63.5,86.38,TRUE,FALSE
Vocational,B,Female,Very Interested,Rural,49,6790000,75.9,85.68,TRUE,FALSE
Vocational,A,Female,Less Interested,Rural,47,7180000,68.3,84.9,FALSE,FALSE
Vocational,B,Female,Very Interested,Rural,47,4090000,54.5,85.94,TRUE,FALSE
Vocational,B,Female,Very Interested,Urban,52,6680000,64.5,87.64,TRUE,TRUE
Academic,B,Female,Quiet Interested,Urban,56,2600000,77.5,86.5,TRUE,FALSE
Academic,A,Female,Very Interested,Urban,51,3900000,57.9,83.18,FALSE,FALSE
Academic,B,Female,Quiet Interested,Urban,60,4250000,58.1,83.99,FALSE,FALSE
Academic,B,Male,Very Interested,Urban,54,6400000,83.8,88.3,FALSE,TRUE
Vocational,A,Male,Not Interested,Urban,51,5760000,71.5,83.42,FALSE,TRUE
Vocational,B,Male,Very Interested,Rural,55,4950000,94.6,85.39,TRUE,FALSE
Vocational,A,Male,Uncertain,Urban,53,4720000,78.5,82.26,FALSE,TRUE
Vocational,B,Male,Not Interested,Rural,51,4890000,90,87.36,TRUE,FALSE
Vocational,B,Female,Uncertain,Rural,50,6450000,78.4,85.86,TRUE,FALSE
Vocational,A,Male,Very Interested,Rural,49,6470000,74.6,86.32,TRUE,TRUE
Vocational,B,Male,Less Interested,Urban,54,5080000,40.7,82.39,TRUE,FALSE
Academic,A,Male,Very Interested,Urban,60,3230000,79.6,85.96,FALSE,FALSE
Academic,B,Male,Less Interested,Rural,52,6130000,76.1,82.7,TRUE,FALSE
Vocational,A,Female,Very Interested,Rural,52,5700000,102.8,85.31,TRUE,TRUE
Academic,A,Female,Very Interested,Urban,53,5900000,79.7,88.96,FALSE,TRUE
Academic,A,Male,Uncertain,Urban,55,6610000,76.1,89.83,FALSE,TRUE
Vocational,A,Female,Very Interested,Rural,48,5940000,62.4,83.67,TRUE,FALSE
Academic,A,Male,Less Interested,Urban,54,7310000,54.6,83.57,FALSE,FALSE
Vocational,B,Female,Not Interested,Rural,53,4660000,80.2,86.73,TRUE,FALSE
Academic,A,Female,Not Interested,Urban,50,5630000,69.9,80.5,FALSE,TRUE
Academic,B,Female,Less Interested,Urban,53,3970000,65.6,88.49,TRUE,FALSE
Vocational,B,Female,Very Interested,Urban,53,5550000,82.9,83.74,TRUE,TRUE
Vocational,A,Female,Very Interested,Rural,52,6680000,89.2,89.35,TRUE,TRUE
Vocational,A,Female,Very Interested,Urban,50,5570000,75.8,83.55,FALSE,TRUE
Academic,A,Male,Uncertain,Urban,50,2660000,64.6,79.92,TRUE,FALSE
Academic,A,Female,Uncertain,Rural,51,4720000,57.2,84.81,TRUE,FALSE
Vocational,A,Male,Very Interested,Urban,55,4740000,97.1,90.49,FALSE,TRUE
Academic,A,Female,Uncertain,Rural,54,7260000,77.1,89.02,TRUE,TRUE
Vocational,A,Male,Uncertain,Rural,53,5570000,79.7,88.42,FALSE,FALSE
Vocational,A,Male,Very Interested,Rural,46,7460000,89.7,90.78,TRUE,TRUE
Vocational,A,Male,Less Interested,Urban,56,6110000,61.6,87.56,FALSE,TRUE
Vocational,B,Female,Uncertain,Rural,51,5930000,79.8,92.53,TRUE,TRUE
Academic,B,Female,Less Interested,Urban,51,3850000,57.2,84.37,FALSE,FALSE
Vocational,B,Male,Uncertain,Rural,51,6540000,87.1,88.19,TRUE,FALSE
Vocational,A,Male,Very Interested,Urban,55,4880000,88.2,93.05,FALSE,TRUE
Vocational,A,Male,Uncertain,Rural,55,4590000,75,94.03,TRUE,TRUE
Vocational,A,Male,Uncertain,Rural,47,6390000,70.3,84.25,TRUE,FALSE
Academic,A,Female,Quiet Interested,Urban,46,7610000,59.8,83.17,FALSE,FALSE
Academic,A,Male,Very Interested,Urban,55,3760000,87.1,91.15,TRUE,TRUE
Academic,A,Female,Not Interested,Rural,49,6220000,84,82.48,TRUE,TRUE
Academic,B,Male,Less Interested,Rural,49,6210000,82.3,83.72,FALSE,FALSE
Vocational,A,Male,Not Interested,Urban,51,4800000,66.2,79.17,FALSE,TRUE
Vocational,A,Female,Very Interested,Rural,48,5840000,79.7,85.51,TRUE,FALSE
Academic,A,Male,Quiet Interested,Urban,55,5610000,82.4,82.49,FALSE,FALSE
Vocational,A,Male,Less Interested,Urban,54,5620000,68.6,86,FALSE,TRUE
Vocational,B,Male,Uncertain,Rural,52,6300000,77.8,86.73,TRUE,FALSE
